543.891	NeIV	543	0.116	0	#				
1370.131	NiII	1370	0.0769	5					
963.801	PII	963	1.458	1					
1152.818	PII	1152	0.236	1	#				
1301.874	PII	1301	0.0173	1					
917.118	PIII	917	0.4049	1					
1117.977	PV	1117	0.4732	1					
1128.008	PV	1128	0.2345	1					
1362.461	BII	1362	0.987	1		F&L			
4227.918	CaI	4227	1.94	1					
3934.777	CaII	3934	0.65	1					
3969.591	CaII	3969	0.322	1					
1347.24	ClI	1347	1.19E-01	1			(scaled	by	0.534)
